------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:16:02 (uptime: 0d, 00h 00m 17s)
decoder.event.ipv4.opt_pad_required           | Total                     | 7
tcp.sessions                                  | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 4
tcp.segment_from_pool                         | Total                     | 18
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 5
flow.end.state.new                            | Total                     | 1
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9501
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 16
flow.mgr.flows_notimeout                      | Total                     | 15
flow.mgr.flows_timeout                        | Total                     | 1
flow.mgr.flows_evicted                        | Total                     | 1
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 1
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4981024
tcp.reassembly_memuse                         | Total                     | 940032
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:17:06 (uptime: 0d, 00h 01m 21s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 2767
capture.afpacket.polls                        | Total                     | 7678
capture.afpacket.poll_timeout                 | Total                     | 5139
capture.afpacket.poll_data                    | Total                     | 2539
decoder.pkts                                  | Total                     | 2767
decoder.bytes                                 | Total                     | 298397
decoder.ipv4                                  | Total                     | 2647
decoder.ethernet                              | Total                     | 2767
decoder.arp                                   | Total                     | 9
decoder.unknown_ethertype                     | Total                     | 111
decoder.tcp                                   | Total                     | 2593
tcp.syn                                       | Total                     | 13
tcp.synack                                    | Total                     | 3
tcp.rst                                       | Total                     | 6
decoder.udp                                   | Total                     | 46
decoder.avg_pkt_size                          | Total                     | 107
decoder.max_pkt_size                          | Total                     | 2866
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 11
flow.active                                   | Total                     | 9
flow.tcp                                      | Total                     | 5
flow.udp                                      | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
decoder.event.ipv4.opt_pad_required           | Total                     | 8
tcp.sessions                                  | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 4
tcp.segment_from_pool                         | Total                     | 18
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 5
flow.end.state.new                            | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9501
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 18
flow.mgr.flows_notimeout                      | Total                     | 16
flow.mgr.flows_timeout                        | Total                     | 2
flow.mgr.flows_evicted                        | Total                     | 2
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 2
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4981024
tcp.reassembly_memuse                         | Total                     | 940032
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:17:14 (uptime: 0d, 00h 01m 29s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3126
capture.afpacket.polls                        | Total                     | 8695
capture.afpacket.poll_timeout                 | Total                     | 5809
capture.afpacket.poll_data                    | Total                     | 2886
decoder.pkts                                  | Total                     | 3127
decoder.bytes                                 | Total                     | 334961
decoder.ipv4                                  | Total                     | 2987
decoder.ethernet                              | Total                     | 3127
decoder.arp                                   | Total                     | 11
decoder.unknown_ethertype                     | Total                     | 129
decoder.tcp                                   | Total                     | 2929
tcp.syn                                       | Total                     | 13
tcp.synack                                    | Total                     | 3
tcp.rst                                       | Total                     | 6
decoder.udp                                   | Total                     | 50
decoder.avg_pkt_size                          | Total                     | 107
decoder.max_pkt_size                          | Total                     | 2866
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 11
flow.active                                   | Total                     | 9
flow.tcp                                      | Total                     | 5
flow.udp                                      | Total                     | 6
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
decoder.event.ipv4.opt_pad_required           | Total                     | 8
tcp.sessions                                  | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 4
tcp.segment_from_pool                         | Total                     | 18
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 5
flow.end.state.new                            | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 7
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9502
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 22
flow.mgr.flows_notimeout                      | Total                     | 20
flow.mgr.flows_timeout                        | Total                     | 2
flow.mgr.flows_evicted                        | Total                     | 2
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 2
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4981024
tcp.reassembly_memuse                         | Total                     | 940032
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:17:22 (uptime: 0d, 00h 01m 37s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3151
capture.afpacket.polls                        | Total                     | 9423
capture.afpacket.poll_timeout                 | Total                     | 6513
capture.afpacket.poll_data                    | Total                     | 2910
decoder.pkts                                  | Total                     | 3151
decoder.bytes                                 | Total                     | 336928
decoder.ipv4                                  | Total                     | 2998
decoder.ethernet                              | Total                     | 3151
decoder.arp                                   | Total                     | 11
decoder.unknown_ethertype                     | Total                     | 142
decoder.tcp                                   | Total                     | 2929
tcp.syn                                       | Total                     | 13
tcp.synack                                    | Total                     | 3
tcp.rst                                       | Total                     | 6
decoder.udp                                   | Total                     | 60
decoder.avg_pkt_size                          | Total                     | 106
decoder.max_pkt_size                          | Total                     | 2866
tcp.active_sessions                           | Total                     | 4
flow.total                                    | Total                     | 14
flow.active                                   | Total                     | 12
flow.tcp                                      | Total                     | 5
flow.udp                                      | Total                     | 9
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 6
decoder.event.ipv4.opt_pad_required           | Total                     | 9
tcp.sessions                                  | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 4
tcp.segment_from_pool                         | Total                     | 18
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 8
flow.end.state.new                            | Total                     | 2
flow.mgr.full_hash_pass                       | Total                     | 8
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9402
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 25
flow.mgr.flows_notimeout                      | Total                     | 23
flow.mgr.flows_timeout                        | Total                     | 2
flow.mgr.flows_evicted                        | Total                     | 2
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 2
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4981024
tcp.reassembly_memuse                         | Total                     | 940032
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 3/20/2025 -- 18:17:30 (uptime: 0d, 00h 01m 45s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3166
capture.afpacket.polls                        | Total                     | 9908
capture.afpacket.poll_timeout                 | Total                     | 6982
capture.afpacket.poll_data                    | Total                     | 2926
decoder.pkts                                  | Total                     | 3167
decoder.bytes                                 | Total                     | 338106
decoder.ipv4                                  | Total                     | 3004
decoder.ethernet                              | Total                     | 3167
decoder.arp                                   | Total                     | 11
decoder.unknown_ethertype                     | Total                     | 152
decoder.tcp                                   | Total                     | 2930
tcp.syn                                       | Total                     | 14
tcp.synack                                    | Total                     | 3
tcp.rst                                       | Total                     | 6
decoder.udp                                   | Total                     | 64
decoder.avg_pkt_size                          | Total                     | 106
decoder.max_pkt_size                          | Total                     | 2866
tcp.active_sessions                           | Total                     | 3
flow.total                                    | Total                     | 15
flow.active                                   | Total                     | 12
flow.tcp                                      | Total                     | 5
flow.udp                                      | Total                     | 10
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 6
decoder.event.ipv4.opt_pad_required           | Total                     | 10
flow.wrk.flows_evicted_needs_work             | Total                     | 1
flow.wrk.flows_evicted_pkt_inject             | Total                     | 1
flow.wrk.flows_injected                       | Total                     | 1
tcp.sessions                                  | Total                     | 4
tcp.ssn_from_pool                             | Total                     | 4
tcp.segment_from_pool                         | Total                     | 18
app_layer.flow.tls                            | Total                     | 3
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.failed_udp                     | Total                     | 9
flow.end.state.new                            | Total                     | 2
flow.end.state.closed                         | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 1
flow.mgr.full_hash_pass                       | Total                     | 9
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9402
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 27
flow.mgr.flows_notimeout                      | Total                     | 24
flow.mgr.flows_timeout                        | Total                     | 3
flow.mgr.flows_evicted                        | Total                     | 3
flow.mgr.flows_evicted_needs_work             | Total                     | 1
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
flow.recycler.recycled                        | Total                     | 2
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4981056
tcp.reassembly_memuse                         | Total                     | 931840
flow.memuse                                   | Total                     | 7234304
